Date,Closing_Price
2021-09-24,30.95
2021-09-27,31.47
2021-09-28,31.2
2021-09-29,31.6
2021-09-30,30.67
2021-10-01,30.68
2021-10-04,30.37
2021-10-05,30.56
2021-10-06,29.82
2021-10-07,30.22
2021-10-08,30.35
2021-10-11,30.42
2021-10-12,30.16
2021-10-13,30.06
2021-10-14,30.26
2021-10-15,30.79
2021-10-18,30.71
2021-10-19,30.57
2021-10-20,30.46
2021-10-21,29.92
2021-10-22,29.92
2021-10-25,30
2021-10-26,29.56
2021-10-27,29.19
2021-10-28,29.7
2021-10-29,29.58
2021-11-01,30.41
2021-11-02,30.27
2021-11-03,30.28
2021-11-04,30.74
2021-11-05,29.7
2021-11-08,29.55
2021-11-09,29.35
2021-11-10,28.7
2021-11-11,28.65
2021-11-12,29.1
2021-11-15,29.23
2021-11-16,28.83
2021-11-17,28.37
2021-11-18,28.13
2021-11-19,28.98
2021-11-22,29.01
2021-11-23,29.04
2021-11-24,28.56
2021-11-26,27.98
2021-11-29,27.59
2021-11-30,27.37
2021-12-01,27.73
2021-12-02,28.41
2021-12-03,28.22
2021-12-06,28.33
2021-12-07,28.89
2021-12-08,28.42
2021-12-09,28.11
2021-12-10,28.47
2021-12-13,27.77
2021-12-14,28
2021-12-15,28.24
2021-12-16,28.15
2021-12-17,27.86
2021-12-20,27.36
2021-12-21,27.5
2021-12-22,27.57
2021-12-23,28.08
2021-12-27,28.21
2021-12-28,28.2
2021-12-29,28.18
2021-12-30,28.24
2021-12-31,28.45
2022-01-03,28.82
2022-01-04,29.49
2022-01-05,29.27
2022-01-06,29.73
2022-01-07,29.75
2022-01-10,29.67
2022-01-11,30.34
2022-01-12,30.64
2022-01-13,30.89
2022-01-14,30.69
2022-01-18,30.41
2022-01-19,29.78
2022-01-20,29.47
2022-01-21,29.78
2022-01-24,29.53
2022-01-25,29.82
2022-01-26,29.36
2022-01-27,28.99
2022-01-28,29
2022-01-31,29.55
2022-02-01,29.18
2022-02-02,29.77
2022-02-03,29.85
2022-02-04,29.61
2022-02-07,29.55
2022-02-08,29.6
2022-02-09,30.5
2022-02-10,30.76
2022-02-11,30.46
2022-02-14,30.66
2022-02-15,31.72
2022-02-16,31.97
2022-02-17,31.56
2022-02-18,31.87
2022-02-22,31.18
2022-02-23,30.77
2022-02-24,30.57
2022-02-25,31.05
2022-02-28,30.56
2022-03-01,29.82
2022-03-02,29.61
2022-03-03,28.83
2022-03-04,28.01
2022-03-07,26.68
2022-03-08,26.39
2022-03-09,27.27
2022-03-10,27.18
2022-03-11,26.45
2022-03-14,26.66
2022-03-15,27.16
2022-03-16,28.28
2022-03-17,28.24
2022-03-18,28.32
2022-03-21,28.23
2022-03-22,28.51
2022-03-23,28.37
2022-03-24,28.48
2022-03-25,28.44
2022-03-28,28.2
2022-03-29,29.05
2022-03-30,28.54
2022-03-31,28.26
2022-04-01,28.3
2022-04-04,28.47
2022-04-05,27.42
2022-04-06,26.84
2022-04-07,25.99
2022-04-08,26.06
2022-04-11,26.04
2022-04-12,25.68
2022-04-13,25.97
2022-04-14,25.75
2022-04-18,25.91
2022-04-19,26.22
2022-04-20,26.76
2022-04-21,26.45
2022-04-22,25.93
2022-04-25,26.46
2022-04-26,25.83
2022-04-27,25.69
2022-04-28,26.45
2022-04-29,26.25
2022-05-02,26.26
2022-05-03,26.58
2022-05-04,27.12
2022-05-05,26.35
2022-05-06,26.68
2022-05-09,25.7
2022-05-10,25.63
2022-05-11,24.73
2022-05-12,25.09
2022-05-13,25.63
2022-05-16,24.64
2022-05-17,25.2
2022-05-18,24.54
2022-05-19,25.01
2022-05-20,25.02
2022-05-23,25.26
2022-05-24,24.95
2022-05-25,24.57
