Date,Closing_Price
2021-12-28,155.2
2021-12-29,154.87
2021-12-30,155.93
2021-12-31,154.89
2022-01-03,156.76
2022-01-04,155.73
2022-01-05,155.19
2022-01-06,156.9
2022-01-07,157.83
2022-01-10,156.6
2022-01-11,157.89
2022-01-12,157.8
2022-01-13,155.44
2022-01-14,151.94
2022-01-18,152.27
2022-01-19,150.11
2022-01-20,147.62
2022-01-21,137.38
2022-01-24,137.46
2022-01-25,136.51
2022-01-26,133.6
2022-01-27,135.42
2022-01-28,138.63
2022-01-31,142.97
2022-02-01,144.49
2022-02-02,142.62
2022-02-03,140.03
2022-02-04,142.02
2022-02-07,142.51
2022-02-08,142.48
2022-02-09,147.23
2022-02-10,152.16
2022-02-11,149.47
2022-02-14,150.85
2022-02-15,154.72
2022-02-16,156.35
2022-02-17,152.95
2022-02-18,151.36
2022-02-22,148.09
2022-02-23,145.87
2022-02-24,149.4
2022-02-25,149.53
2022-02-28,148.46
2022-03-01,145.7
2022-03-02,147.34
2022-03-03,145.57
2022-03-04,140.72
2022-03-07,133.5
2022-03-08,131.75
2022-03-09,133.65
2022-03-10,133.64
2022-03-11,131.75
2022-03-14,129.03
2022-03-15,134.2
2022-03-16,138.14
2022-03-17,139.47
2022-03-18,140.3
2022-03-21,138.62
2022-03-22,140.11
2022-03-23,137.64
2022-03-24,138.96
2022-03-25,139.14
2022-03-28,138.72
2022-03-29,142.38
2022-03-30,140.96
2022-03-31,137.16
2022-04-01,137
2022-04-04,138.58
2022-04-05,135.62
2022-04-06,132.57
2022-04-07,131.87
2022-04-08,131.87
2022-04-11,130.65
2022-04-12,130.84
2022-04-13,132.35
2022-04-14,130.47
2022-04-18,127.77
2022-04-19,131.9
2022-04-20,124.57
2022-04-21,121.66
2022-04-22,118.27
2022-04-25,119.95
2022-04-26,115.77
2022-04-27,115.21
2022-04-28,115.29
2022-04-29,111.63
2022-05-02,113.5
2022-05-03,113.55
2022-05-04,116.19
2022-05-05,112.61
2022-05-06,110.29
2022-05-09,106.98
2022-05-10,107.68
2022-05-11,105.21
2022-05-12,104.31
2022-05-13,107.33
2022-05-16,105.18
2022-05-17,108.64
2022-05-18,104.3
2022-05-19,103.14
2022-05-20,102.42
2022-05-23,105.83
2022-05-24,101.59
2022-05-25,103.26
